CRM ID,CRM Group,CRM Type,Matrix,Mineralisation Style,Analysis Method,Element,Unit,Certified Value,Sort Grade,1SD,95% CI Low,95% CI High,Status
OREAS 100a,U ore,primary,granitic/haematitic breccia,hydrothermal IOCG variant,Borate / Peroxide Fusion ICP,"Uranium, U",ppm,135,135,11,128,142,Current
OREAS 100a,U ore,primary,granitic/haematitic breccia,hydrothermal IOCG variant,Borate / Peroxide Fusion ICP,"Thorium, Th",ppm,52,51.6,4.3,49,54,Current
OREAS 100a,U ore,primary,granitic/haematitic breccia,hydrothermal IOCG variant,Borate / Peroxide Fusion ICP,"Lanthanum, La",ppm,260,260,13,252,269,Current
OREAS 100a,U ore,primary,granitic/haematitic breccia,hydrothermal IOCG variant,Borate / Peroxide Fusion ICP,"Cerium, Ce",ppm,463,463,29,444,483,Current
OREAS 100a,U ore,primary,granitic/haematitic breccia,hydrothermal IOCG variant,Borate / Peroxide Fusion ICP,"Cobalt, Co",ppm,18.1,18.1,1.4,17.1,19.1,Current
OREAS 100a,U ore,primary,granitic/haematitic breccia,hydrothermal IOCG variant,Borate / Peroxide Fusion ICP,"Copper, Cu",ppm,169,169,9,163,175,Current
OREAS 100a,U ore,primary,granitic/haematitic breccia,hydrothermal IOCG variant,Borate / Peroxide Fusion ICP,"Dysprosium, Dy",ppm,23.2,23.2,0.9,22.8,23.6,Current
OREAS 100a,U ore,primary,granitic/haematitic breccia,hydrothermal IOCG variant,Borate / Peroxide Fusion ICP,"Erbium, Er",ppm,14.9,14.9,0.9,14.4,15.4,Current
OREAS 100a,U ore,primary,granitic/haematitic breccia,hydrothermal IOCG variant,Borate / Peroxide Fusion ICP,"Europium, Eu",ppm,3.71,3.71,0.36,3.48,3.93,Current
OREAS 100a,U ore,primary,granitic/haematitic breccia,hydrothermal IOCG variant,Borate / Peroxide Fusion ICP,"Iron, Fe",wt.%,4.66,46600,0.11,4.6,4.72,Current
OREAS 100a,U ore,primary,granitic/haematitic breccia,hydrothermal IOCG variant,Borate / Peroxide Fusion ICP,"Gadolinium, Gd",ppm,23.6,23.6,2.2,22.2,24.9,Current
OREAS 100a,U ore,primary,granitic/haematitic breccia,hydrothermal IOCG variant,Borate / Peroxide Fusion ICP,"Holmium, Ho",ppm,4.81,4.81,0.23,4.68,4.95,Current
OREAS 100a,U ore,primary,granitic/haematitic breccia,hydrothermal IOCG variant,Borate / Peroxide Fusion ICP,"Potassium, K",wt.%,3.94,39400,0.2,3.8,4.07,Current
OREAS 100a,U ore,primary,granitic/haematitic breccia,hydrothermal IOCG variant,Borate / Peroxide Fusion ICP,"Lutetium, Lu",ppm,2.26,2.26,0.16,2.16,2.37,Current
OREAS 100a,U ore,primary,granitic/haematitic breccia,hydrothermal IOCG variant,Borate / Peroxide Fusion ICP,"Magnesium, Mg",wt.%,0.839,8390,0.023,0.825,0.854,Current
OREAS 100a,U ore,primary,granitic/haematitic breccia,hydrothermal IOCG variant,Borate / Peroxide Fusion ICP,"Manganese, Mn",ppm,537,537,29,520,555,Current
OREAS 100a,U ore,primary,granitic/haematitic breccia,hydrothermal IOCG variant,Borate / Peroxide Fusion ICP,"Molybdenum, Mo",ppm,24.1,24.1,1.8,23,25.2,Current
OREAS 100a,U ore,primary,granitic/haematitic breccia,hydrothermal IOCG variant,Borate / Peroxide Fusion ICP,"Neodymium, Nd",ppm,152,152,14,144,160,Current
OREAS 100a,U ore,primary,granitic/haematitic breccia,hydrothermal IOCG variant,Borate / Peroxide Fusion ICP,"Nickel, Ni",ppm,20,19.8,IND,IND,IND,Current
OREAS 100a,U ore,primary,granitic/haematitic breccia,hydrothermal IOCG variant,Borate / Peroxide Fusion ICP,"Phosphorus, P",ppm,529,529,76,484,574,Current
OREAS 100a,U ore,primary,granitic/haematitic breccia,hydrothermal IOCG variant,Borate / Peroxide Fusion ICP,"Lead, Pb",ppm,20,19.8,IND,IND,IND,Current
OREAS 100a,U ore,primary,granitic/haematitic breccia,hydrothermal IOCG variant,Borate / Peroxide Fusion ICP,"Praseodymium, Pr",ppm,47.1,47.1,4,44.7,49.5,Current
OREAS 100a,U ore,primary,granitic/haematitic breccia,hydrothermal IOCG variant,Borate / Peroxide Fusion ICP,"Samarium, Sm",ppm,23.6,23.6,0.7,23.2,24,Current
OREAS 100a,U ore,primary,granitic/haematitic breccia,hydrothermal IOCG variant,Borate / Peroxide Fusion ICP,"Terbium, Tb",ppm,3.8,3.8,0.34,3.57,4.03,Current
OREAS 100a,U ore,primary,granitic/haematitic breccia,hydrothermal IOCG variant,Borate / Peroxide Fusion ICP,"Titanium, Ti",wt.%,0.239,2390,0.005,0.237,0.242,Current
OREAS 100a,U ore,primary,granitic/haematitic breccia,hydrothermal IOCG variant,Borate / Peroxide Fusion ICP,"Thulium, Tm",ppm,2.31,2.31,0.18,2.19,2.42,Current
OREAS 100a,U ore,primary,granitic/haematitic breccia,hydrothermal IOCG variant,Borate / Peroxide Fusion ICP,"Vanadium, V",ppm,36.7,36.7,4.9,33.4,40,Current
OREAS 100a,U ore,primary,granitic/haematitic breccia,hydrothermal IOCG variant,Borate / Peroxide Fusion ICP,"Yttrium, Y",ppm,142,142,6,139,145,Current
OREAS 100a,U ore,primary,granitic/haematitic breccia,hydrothermal IOCG variant,Borate / Peroxide Fusion ICP,"Ytterbium, Yb",ppm,14.9,14.9,0.5,14.6,15.3,Current
OREAS 100a,U ore,primary,granitic/haematitic breccia,hydrothermal IOCG variant,4-Acid Digestion,"Cerium, Ce",ppm,467,467,34,447,486,Current
OREAS 100a,U ore,primary,granitic/haematitic breccia,hydrothermal IOCG variant,4-Acid Digestion,"Cobalt, Co",ppm,17.5,17.5,1.4,16.8,18.2,Current
OREAS 100a,U ore,primary,granitic/haematitic breccia,hydrothermal IOCG variant,4-Acid Digestion,"Copper, Cu",ppm,167,167,9,162,172,Current
